name,tags,price,like,score
우에우에테낭고,감성카페,3500,없음,4
컵오브조,제로페이,3500,맛,5
블리스플 마중점,감성카페,0,맛,3
빈타이 카페 전북대점,디저트,4500,맛,5
어느날의오후,디저트카페,3500,맛,5
외할머니솜씨,디저트카페,4000,맛,2
전망,루프탑있는,5000,맛,3
그날의온도,대형카페,7000,분위기,3
올드스터프,로스팅전문,3500,없음,3
차경,전주앙버터모나카,2300,맛,5
나잇나잇,감성카페,4000,분위기,4
빈타이 송천점,디저트카페,4000,맛,3
그리고오늘,건강음료,2500,없음,5
백일몽,감성카페,4000,맛,2
라스트위크,제로페이,6000,맛,4
해달별커피,감성카페,4000,친절,2
빈타이 효자점,분위기좋은,4000,없음,4
동영커피,로스팅전문,4000,맛,5
디오차드,갤러리카페,6000,없음,1
브리꼴라주,데이트코스,4800,맛,4
디오니카페,대형카페,4500,분위기,2
교동다원,전주,6000,없음,5
스타벅스 전주덕진광장DT점,카카오페이,4200,없음,4
레터스프롬포지티브즈,브런치카페,6500,없음,1
행원,고즈넉한,4000,맛,1
카페섬수,데이트코스,3500,맛,3
로맨티움,대형카페,4500,분위기,3
꽃가마,전체,4000,친절,2
스타벅스 전주경원점,데이트코스,4200,친절,4
오유,로스팅전문,4000,맛,4
밥스터 신시가지점,감성카페,5000,없음,3
리틀케이로스터리,깔끔한,3800,없음,4
오스스퀘어,데이트코스,6000,맛,4
목련을부탁해,빈티지분위기,4000,맛,1
일달라커피,로스팅전문,5000,없음,3
피플레이트,브런치카페,8500,없음,5
오스갤러리,갤러리카페,8000,친절,3
두베카페,북카페,6000,친절,5
카페라온,대형카페,6000,맛,1
옥진,디저트카페,5000,없음,2
